Surat,25.99,38,haze
Vadodara,25.98,34,broken clouds
New york,4.88,73,clear sky
Brisbane,25.03,82,overcast clouds
surat,29.99,26,few clouds
bardoli,26.86,38,scattered clouds
bardoli,26.86,38,scattered clouds
surat,25.99,73,haze
surat,32.99,24,clear sky
surat,32.99,22,clear sky
